"","SYMBOL"
"440","FIBCD1"
"441","ZNRF1"
"442","PRKAR2A"
"443","ARSB"
"444","FAR2"
"445","KCTD12"
"446","SLAMF6"
"447","PPAN-P2RY11"
"448","SPINT1"
"449","CALB2"
"450","NUAK2"
"451","SAP130"
"452","ZBTB7B"
"453","INO80D"
"454","GLYCTK"
"455","BMPR2"
"456","CSDC2"
"457","LRP1"
"458","CLDN2"
"459","STRADA"
"460","CCDC86"
"461","MAP3K9"
"462","APBB2"
"463","LMOD1"
