"","SYMBOL"
"509","TSPAN5"
"510","DLL4"
"511","RASEF"
"512","RTF1"
"513","GSTT2B"
"514","ENSA"
"515","PNISR"
"516","RELN"
"517","SOS2"
"518","CPSF7"
"519","IGSF23"
"520","DLL1"
"521","DENND1B"
"522","CRIM1"
"523","HOXD10"
"524","EIF3C"
"525","SNAP25"
"526","DYRK1A"
"527","DCAF7"
"528","ANXA11"
"529","ANKIB1"
"530","ESRRG"
"531","PPIH"
"532","LINC01565"
"533","EIF3CL"
"534","SYNDIG1"
"535","IRAK2"
"536","NR4A3"
"537","MTMR4"
"538","KPNA1"
"539","HSPA8"
"540","KLC4"
"541","CCDC28A"
"542","TACC1"
"543","SYDE2"
"544","COBLL1"
"545","KMT2D"
"546","CUL2"
"547","LRRN3"
"548","RUNX1T1"
"549","ECHDC1"
"550","CAB39"
"551","SLC25A39"
"552","UBE2W"
"553","RARB"
"554","BACH2"
"555","CRYM"
"556","SPAG7"
"557","NISCH"
"558","ZNF275"
"559","PYM1"
"560","BFAR"
"561","UBE2V1"
"562","SUCO"
"563","IPO9"
"564","TPD52L3"
"565","ARHGEF9"
"566","SEMA3D"
"567","MIEF2"
"568","CEP55"
"569","PID1"
"570","ROR1"
"571","ARFGAP2"
"572","IST1"
"573","LAMC1"
"574","ARHGAP5"
"575","LCOR"
"576","MAP3K3"
"577","TRNT1"
"578","KBTBD2"
"579","PFKFB4"
"580","FRMPD1"
"581","MINDY1"
"582","CAMSAP1"
"583","TUBA4A"
"584","DENND6A"
"585","CD163"
"586","STK19"
"587","BAG5"
"588","RBPJ"
"589","ABCF2"
"590","FGF7"
"591","KPNA3"
"592","ZNRF2"
"593","RAP2C"
"594","C2orf72"
"595","ADGRL1"
"596","HTRA2"
"597","CDC14B"
"598","CARD19"
"599","RAF1"
"600","C8orf86"
"601","SMPD1"
"602","YIPF6"
"603","GPN3"
"604","SLC15A4"
"605","MIPOL1"
"606","ARHGDIA"
"607","FGF9"
"608","WDTC1"
"609","FAM135A"
"610","VAMP8"
"611","SPDYE3"
"612","RUNDC3B"
"613","NRN1"
"614","OTUD4"
"615","LATS2"
"616","EXT2"
"617","ZNF548"
"618","TMEM183A"
"619","C8orf58"
"620","EXOC3L2"
"621","PPM1E"
"622","ARPP19"
"623","GPANK1"
"624","YOD1"
"625","TTC14"
"626","PEDS1-UBE2V1"
"627","BZW1"
"628","DCUN1D4"
"629","SEC24A"
"630","KIF5B"
"631","DOLPP1"
"632","LONRF3"
"633","TTC21B"
"634","LRP1B"
"635","MIB1"
"636","LY9"
"637","ADAMTS18"
"638","INO80C"
"639","ELOVL4"
"640","STYX"
"641","CBFA2T3"
"642","MED11"
"643","PLRG1"
"644","CHRNE"
"645","ARHGAP12"
"646","TRAM1"
"647","RBSN"
"648","CAAP1"
"649","TASP1"
"650","CCNJL"
"651","LYPLA2"
"652","CARD10"
"653","ZC3H6"
"654","SH2D2A"
"655","HERC6"
"656","TLE4"
"657","MMS19"
"658","USP12"
"659","CLASRP"
"660","SLC9A8"
"661","SLC4A7"
"662","KIF1C"
"663","RAD9A"
"664","NRBP1"
"665","BACE1"
"666","ERC2"
"667","ADCY5"
"668","PGLS"
"669","TMEM221"
"670","HTR2A"
"671","C11orf42"
"672","A4GNT"
"673","EXOSC1"
"674","CDHR1"
"675","VAMP1"
"676","TMEM245"
"677","CPD"
"678","ARHGAP32"
"679","PIM1"
"680","NUCKS1"
"681","P3H2"
"682","DSEL"
"683","CAPN6"
"684","USP31"
"685","HECTD1"
